glottocode,npolys,spread,coastal,language
sota1242,2,0.10828637125146154,False,Sota Kanum
sout2746,7,1.2521901586426614,True,Southern Thai
sout2949,19,0.20883158309384497,True,Southern Kiwai
sout3010,2,0.17411138372788626,False,Southern Roglai
sout3391,3,0.5810118775784758,True,Southwestern Tasmanian
stan1306,15,6.689176538706422,False,Standard Malay
suau1242,2,0.013094905406211544,True,Suau
sugu1243,2,0.3524117690331184,False,Sugut Dusun
sumb1241,2,0.03063097548509752,True,Sumbawa
suri1273,4,0.10335599344632829,True,Surigaonon
taba1263,4,0.26239949549295827,True,Tabaru
tabo1241,2,0.20171996869036724,True,Tabo
taee1237,2,0.0753760830790456,False,Tae'
taga1270,9,0.6371530155608293,True,Tagalog
taga1273,2,0.024091768413902464,False,Tagal Murut
tahi1242,8,1.4956588614724475,True,Tahitian
taid1247,3,0.1611216868347422,False,Tai Dam
tail1246,2,0.11390468940526326,False,Muak
taki1248,4,0.1791924948977978,False,Takia
tala1285,11,5.073826147929412,True,Talaud
tang1348,5,0.26307745649728415,True,Tangga
taus1251,2,3.7570110338786455,True,Tausug
tavo1242,2,7.405427345752535,True,Tavoyan
tawa1275,2,0.2368306777795572,True,Tawala
tawo1244,2,0.3749009428417887,False,Taworta
telu1263,2,0.03635948046207172,True,Teluti
teng1267,5,1.0808325704633222,False,Tenggarong Kutai Malay
tern1247,9,0.807002357035202,True,Ternate
tetu1245,2,0.20967337942692088,True,Tetum
thai1261,3,0.15193746774563505,True,Thai
tido1248,6,0.21750057553494456,True,Tidore
tiga1245,8,0.14000272693270516,True,Tigak
tobe1252,13,1.0440703442854191,True,Tobelo
toke1240,4,0.7813575361640298,True,Tokelau
tola1247,2,0.10494510015131889,False,Tolaki
tomb1244,4,0.4651552268469834,False,Tombonuo
tond1251,5,0.8981583932295985,False,Tondano
tong1308,2,0.3450771483650376,False,Maniq
tong1325,6,0.7654018611324443,True,Tonga (Tonga Islands)
tont1239,2,0.053282249451377925,True,Tontemboan
tora1259,2,0.2684256156717476,True,Torau
toto1304,2,0.3009229510452801,True,Totoli
touo1238,2,0.0627602918772022,True,Touo
tuam1242,39,2.922205884864392,True,Tuamotuan
tutu1241,2,0.04360967752049445,True,Tutuba
uabm1237,2,1.3196446974929634,True,Uab Meto
ubir1237,2,0.2511027414960426,True,Ubir
ugon1239,4,0.27138980282912123,False,Ugong
ulit1238,3,0.49955765363147964,True,Ulithian
umal1239,7,0.3626565509572356,False,Uma' Lasan
unaa1239,2,0.4238010289351859,False,Una
uppe1427,2,1.1566362861139095,False,Upper Kinabatangan
viet1252,3,5.215839451697024,True,Vietnamese
wabo1241,11,0.10385370310606794,True,Waboda
waim1252,2,0.5456041248234695,True,Waima'a
wand1267,2,0.07397049360532455,True,Wandamen
wara1300,6,0.6753399363927481,True,Waray (Philippines)
wark1247,2,0.13648334966319856,False,Warkay-Bipim
waro1242,4,0.8120027610394169,True,Waropen
wask1241,2,0.26287148871788624,False,Waskia
wers1238,7,2.727095129905147,False,Wersing
west2563,7,0.3435179469815782,False,Western Penan
west2600,5,0.20297646000263897,True,West Makian
west2650,8,0.7629356541912474,False,Western Cham
wipi1242,2,0.24308446628148592,False,Wipi
woge1237,2,0.12006593390866668,True,Wogeo
woiw1237,4,0.6713818497631359,False,Woiwurrung-Thagungwurrung
wole1240,6,0.5633843804452413,True,Woleaian
wuna1249,2,0.04667905104174807,True,Wunambal
wutu1244,2,0.1469661172414347,False,Wutung
yabe1255,2,0.09286962721943823,False,Yaben
yala1266,2,0.32125749928872893,True,Yalahatan-Haruru-Awaiya
yamd1240,3,0.6440102331550792,True,Yamdena
yany1243,3,0.1638526326149086,True,Yanyuwa
yaul1241,2,1.542613860635945,False,Ulwa (Papua New Guinea)
yeko1240,2,0.15274898110567636,False,Yekora
yort1237,4,0.97273213632699,False,Yorta Yorta
zaba1237,6,0.12878553788413805,True,Zabana
zena1237,2,0.13878538287786096,False,Zenag
